x1,x2,y
3.89686598,3.38062706,1
6.688912732,6.986446829,0
4.797428698,6.36877974,0
1.087846839,6.686900568,1
1.787692426,4.370971218,1
8.147397747,8.254148925,0
0.146906141,6.63961946,0
4.811332917,2.30650431,0
9.635772004,6.356291431,1
2.894402449,4.484958646,1
9.656383758,8.375987401,1
9.642809674,7.006044403,1
7.286730741,3.263601432,1
1.039806895,0.646774844,1
6.042755072,9.467392504,1
5.637039236,3.032974689,0
6.055877394,0.956581284,0
4.537989108,3.256802008,1
6.564930528,5.836540285,1
6.24882516,4.385430015,0
8.653193413,4.979210259,1
3.533599985,0.678590968,1
4.275144701,6.252101483,1
2.41105392,8.77490061,1
7.240280134,9.553998551,1
0.125874166,1.713089792,1
2.402485957,4.654526191,0
5.58000672,5.184040033,0
2.476751755,0.927614097,0
2.614642984,0.057452899,0
4.553406938,1.845726865,0
6.811142989,9.567871985,1
7.466029248,0.230831701,1
0.284996831,8.938850466,0
5.03255507,8.93621205,1
6.885797921,5.288893653,1
3.78975571,8.616836846,0
6.841465439,1.482534745,1
6.164271119,8.284096269,1
1.165192885,4.543256652,0
7.054769558,4.524887874,0
1.482319026,5.613356848,0
8.075336261,0.226791968,0
9.932764503,5.618188824,1
9.183321803,7.918184751,1
1.864064704,6.616952429,0
5.7915957,3.94969154,1
1.689035786,7.30072032,1
8.463760427,1.499487247,1
2.982391347,0.856001681,0
9.428151848,3.917526153,1
3.331909432,3.770495714,1
7.491744393,9.698318641,0
2.231141156,9.463869982,0
1.13103435,1.706622441,1
3.954583508,4.156023408,0
8.848003476,4.567803512,0
2.989345621,8.449030549,0
3.569697617,5.46744812,0
4.903826599,8.055825636,1
9.27654801,7.569714651,0
1.047500421,7.803413804,0
6.279931971,3.813548377,0
5.168553933,0.075653135,1
9.341891208,8.376847161,1
6.92647184,6.742039656,1
6.690667013,3.706169466,0
9.046164538,2.836313598,0
9.216643893,1.818127313,1
7.501371865,6.067135083,0
6.448661966,0.156548482,0
3.402295676,9.917126459,1
6.263879431,1.73011236,0
8.609565849,5.42264304,1
3.100857705,5.425471421,1
5.936464563,3.472408356,1
1.465361798,6.744071229,1
9.041617301,2.642502975,0
4.06139119,3.0101266,1
0.167385343,2.836427158,0
0.526002144,7.305081388,1
3.184780499,5.597127046,1
1.767939728,0.475394539,0
3.309603151,8.383647054,1
3.143970866,0.423312273,1
0.647334364,0.59390349,0
9.049470028,9.326650426,0
6.529048979,7.806673884,1
2.064245548,7.112432872,0
8.849660742,5.020558531,1
8.263695339,9.654092659,0
3.560135867,7.032604623,0
0.968611621,2.735268667,1
0.47248953,1.431205669,1
3.775893148,3.313245523,0
1.732318141,9.787903743,0
6.679208295,3.670074966,1
4.783939365,6.223760817,0
4.670120954,6.605891111,1
